# FreeBSD 9.1 AMD64
# hw.model: Intel(R) Xeon(R) CPU           E5504  @ 2.00GHz
# hw.ncpu: 8
# 24GB RAM
#
# Note significant regression in HTTP Client/Server performance

benchmark                         old ns/op    new ns/op    delta
BenchmarkHashStringSpeed                       111           82  -26.13%
BenchmarkHashInt32Speed                         80           49  -38.76%
BenchmarkHashInt64Speed                        112           67  -39.91%
BenchmarkHashStringArraySpeed                  291          193  -33.68%
BenchmarkMegMap                            3929914           33  -100.00%
BenchmarkMegOneMap                         3868956           46  -100.00%
BenchmarkMegEqMap                          5487274       131102  -97.61%
BenchmarkMegEmptyMap                       3882048            6  -100.00%
BenchmarkSmallStrMap                            59           37  -36.70%
BenchmarkMapStringKeysEight_16                 115           40  -65.22%
BenchmarkMapStringKeysEight_32                 168           34  -79.52%
BenchmarkMapStringKeysEight_64                 291           34  -88.28%
BenchmarkMapStringKeysEight_1M             3884292           34  -100.00%
BenchmarkIntMap                                 81           25  -68.67%
BenchmarkRepeatedLookupStrMapKey32             195          156  -20.00%
BenchmarkRepeatedLookupStrMapKey1M         3879822      3914175   +0.89%
BenchmarkNewEmptyMap                           418          208  -50.24%
BenchmarkMemmove32                              39           36   -7.69%
BenchmarkMemmove4K                             179          175   -2.23%
BenchmarkMemmove64K                           4975         4969   -0.12%
BenchmarkMemmove4M                         1329582      1355328   +1.94%
BenchmarkMemmove64M                       21031850     22119469   +5.17%
BenchmarkFinalizer                             317          272  -14.20%
BenchmarkFinalizerRun                         2785         1106  -60.29%
BenchmarkStackGrowth                          1212         1034  -14.69%
BenchmarkStackGrowthDeep                    174657       164926   -5.57%
BenchmarkCreateGoroutines                      235          172  -26.81%
BenchmarkCreateGoroutinesParallel              235          171  -27.23%
BenchmarkMatmult                                15           16  +12.00%
BenchmarkIfaceCmp100                           415          314  -24.34%
BenchmarkIfaceCmpNil100                        261          262   +0.38%
BenchmarkDefer                                 243          150  -38.27%
BenchmarkDefer10                               223          135  -39.46%
BenchmarkDeferMany                             303          236  -22.11%
BenchmarkCompareStringEqual                     70           17  -75.75%
BenchmarkCompareStringIdentical                 70            9  -86.52%
BenchmarkCompareStringSameLength                32           14  -55.52%
BenchmarkCompareStringDifferentLength            3            3   +0.00%
BenchmarkCompareStringBigUnaligned         2642562       139240  -94.73%
BenchmarkCompareStringBig                  2643616       132244  -95.00%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          819.52       887.82    1.08x
BenchmarkMemmove4K                        22853.21     23309.26    1.02x
BenchmarkMemmove64K                       13171.02     13187.66    1.00x
BenchmarkMemmove4M                         3154.60      3094.68    0.98x
BenchmarkMemmove64M                        3190.82      3033.93    0.95x
BenchmarkCompareStringBigUnaligned          396.81      7530.75   18.98x
BenchmarkCompareStringBig                   396.65      7929.16   19.99x

benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                       7300         2233  -69.41%
BenchmarkReadRequestChrome                      18848        12592  -33.19%
BenchmarkReadRequestCurl                         8717         6258  -28.21%
BenchmarkReadRequestApachebench                  8976         6203  -30.89%
BenchmarkReadRequestSiege                       12470         8695  -30.27%
BenchmarkReadRequestWrk                          6060         4114  -32.11%
BenchmarkClientServer                          156708      8017160  +5015.99%
BenchmarkClientServerParallel4                 185736      2019450  +987.27%
BenchmarkClientServerParallel64                172426       209856  +21.71%
BenchmarkServer                                148844      4050047  +2621.00%
BenchmarkServerFakeConnNoKeepAlive              51435        28060  -45.45%
BenchmarkServerFakeConnWithKeepAlive            37979        23305  -38.64%
BenchmarkServerFakeConnWithKeepAliveLite        29602        15131  -48.89%
BenchmarkServerHandlerTypeLen                   28773        18749  -34.84%
BenchmarkServerHandlerNoLen                     29465        17086  -42.01%
BenchmarkServerHandlerNoType                    27794        17651  -36.49%
BenchmarkServerHandlerNoHeader                  29200        14230  -51.27%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                      32.42        48.52    1.50x
BenchmarkReadRequestCurl                         8.95        12.46    1.39x
BenchmarkReadRequestApachebench                  9.13        13.22    1.45x
BenchmarkReadRequestSiege                       12.11        17.36    1.43x
BenchmarkReadRequestWrk                          6.60         9.72    1.47x
